Game,Form, Count ,Price,IdealProfit,URL
Beat the Clock 599,7724H, 960 ,$1,$361.00,
Black Jack 175,6916M, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Black Jack 200,6779P, 300 ,$1,$100.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Black Jack 280,6917M, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Black Jack 400,6918M, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Black Jack 599,6919M, 840 ,$1,$241.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Black Jack 700,6268P," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF
Bubble Gum 100,6906V, 150 ,$1,$50.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Bubble Gum 175,6747U, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Bubble Gum 280,6748U, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Bubble Gum 325,6771V, 500 ,$1,$175.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Bubble Gum 400,6749U, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Bubble Gum 599,6750U, 840 ,$1,$241.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Bubble Gum 700,6751U," 1,000 ",$1,$300.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Chase Your Dreams 200,, 300 ,$1,$100.00,
Chocolate 100,6906V, 150 ,$1,$50.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Chocolate 175,6747U, 250 ,$1,$75.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Chocolate 280,6748U, 400 ,$1,$120.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Chocolate 325,6771V, 500 ,$1,$175.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Chocolate 400,6749U, 600 ,$1,$200.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
Chocolate 599,6750U, 840 ,$1,$241.00,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF
