Game Name,Payout Amount,Display Name,Form Number,Manufacturer,Total Tickets,Deal Count,Total Deal Tickets,Total Payout,Ideal Profit,Ideal Percent,Card Type,URL,Active
Beat the Clock,599,Beat the Clock $599,7724H,Arrow,960,1,960,599,361,38,Seal,,TRUE
Black Jack,175,Black Jack $175,6916M,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Black Jack,200,Black Jack $200,6779P,Arrow,300,1,300,200,100,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Black Jack,280,Black Jack $280,6917M,Arrow,400,1,400,280,120,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Black Jack,400,Black Jack $400,6918M,Arrow,600,1,600,400,200,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Black Jack,599,Black Jack $599,6919M,Arrow,840,1,840,599,241,29,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Black Jack,700,Black Jack $700,6268P,Arrow,1000,1,1000,700,300,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Bubble Gum,100,Bubble Gum $100,6906V,Arrow,150,1,150,100,50,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Bubble Gum,175,Bubble Gum $175,6747U,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Bubble Gum,280,Bubble Gum $280,6748U,Arrow,400,1,400,280,120,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Bubble Gum,325,Bubble Gum $325,6771V,Arrow,500,1,500,325,175,35,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Bubble Gum,400,Bubble Gum $400,6749U,Arrow,600,1,600,400,200,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Bubble Gum,599,Bubble Gum $599,6750U,Arrow,840,1,840,599,241,29,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Bubble Gum,700,Bubble Gum $700,6751U,Arrow,1000,1,1000,700,300,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Chase Your Dreams,200,Chase Your Dreams $200,,Arrow,300,1,300,200,100,33,Seal,,TRUE
Chocolate,100,Chocolate $100,6906V,Arrow,150,1,150,100,50,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Chocolate,175,Chocolate $175,6747U,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Chocolate,280,Chocolate $280,6748U,Arrow,400,1,400,280,120,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Chocolate,325,Chocolate $325,6771V,Arrow,500,1,500,325,175,35,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Chocolate,400,Chocolate $400,6749U,Arrow,600,1,600,400,200,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Chocolate,599,Chocolate $599,6750U,Arrow,840,1,840,599,241,29,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Chocolate,700,Chocolate $700,6751U,Arrow,1000,1,1000,700,300,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Claw Enforcement,175,Claw Enforcement $175,,Arrow,280,1,280,175,105,38,Seal,,TRUE
Cotton Candy,100,Cotton Candy $100,6906V,Arrow,150,1,150,100,50,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Cotton Candy,175,Cotton Candy $175,6747U,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
